country,fullName,clubName,position,counterGames,counterGoals
Италия,Орлов Максим Антонович,Барселона,halfdefender,20,9
Аргентина,Степанов Даниил Романович,Зенит,goalkeeper,30,-30
Испания,Мельников Вадим Антонович,ЦСКА,defender,39,13
Нидерланды,Сидоров Матвей Денисович,Барселона,defender,14,14
Италия,Зайцев Кирилл Алексеевич,Реал Мадрид,attacker,81,12
Португалия,Тарасов Вячеслав Эльдарович,Реал Мадрид,attacker,178,67
Нидерланды,Романов Антон Витальевич,Ливерпуль,halfdefender,65,7
Португалия,Романов Юрий Кириллович,ЦСКА,halfdefender,4,1
Италия,Гусев Тихон Николаевич,Локомотив,defender,97,18
Испания,Касаткин Максим Романович,ПСЖ,defender,131,78
Англия,Степанов Никита Васильевич,Манчестер Сити,halfdefender,73,40
Россия,Иванов Юрий Олегович,Ювентус,defender,102,13
Португалия,Орлов Глеб Вячеславович,Ювентус,defender,112,25
Англия,Петров Григорий Геннадьевич,Манчестер Сити,defender,7,2
Аргентина,Кузнецов Кирилл Антонович,Спартак,defender,54,50
Германия,Тарасов Степан Равильевич,Барселона,attacker,41,5
Бразилия,Марков Константин Валерьевич,Манчестер Сити,attacker,97,51
Англия,Лебедев Владимир Егорович,Зенит,goalkeeper,151,-106
Аргентина,Куликов Артём Степанович,Ювентус,defender,100,66
Бразилия,Антонов Анатолий Станиславович,Ювентус,goalkeeper,163,-119
Россия,Лебедев Александр Андреевич,Локомотив,attacker,58,57
Испания,Козлов Владимир Константинович,Ювентус,attacker,145,83
Англия,Рябов Ярослав Станиславович,Арсенал,defender,13,11
Аргентина,Никитин Фёдор Радмирович,Арсенал,attacker,144,5
Бразилия,Попов Станислав Валентинович,Зенит,goalkeeper,178,-68
Бразилия,Фролов Иван Станиславович,Реал Мадрид,defender,104,41
Испания,Гусев Илья Равильевич,Ювентус,halfdefender,104,77
Англия,Гаврилов Артём Вадимович,Манчестер Сити,defender,62,5
Италия,Медведев Егор Романович,Динамо,halfdefender,171,70
Нидерланды,Никитин Тимофей Алексеевич,Арсенал,defender,147,33
Франция,Смирнов Юрий Ильич,Спартак,goalkeeper,11,-7
Англия,Егоров Глеб Георгиевич,Реал Мадрид,defender,160,64
Россия,Григорьев Вячеслав Григорьевич,Ливерпуль,defender,92,16
Франция,Савельев Тихон Михайлович,Арсенал,goalkeeper,43,-42
Аргентина,Марков Арсений Евгеньевич,Спартак,goalkeeper,147,-129
Франция,Соколов Валерий Маркович,ПСЖ,defender,36,26
Германия,Морозов Сергей Романович,Арсенал,halfdefender,48,25
Россия,Касаткин Денис Михайлович,Реал Мадрид,goalkeeper,60,-37
Аргентина,Гаврилов Павел Олегович,Реал Мадрид,defender,11,5
Франция,Жуков Руслан Германович,ЦСКА,halfdefender,10,4
Англия,Орлов Анатолий Романович,ПСЖ,halfdefender,155,22
Италия,Калинин Ярослав Иванович,Барселона,goalkeeper,41,-6
Италия,Макаров Егор Романович,Динамо,attacker,45,26
Аргентина,Мельников Константин Валентинович,Арсенал,halfdefender,158,65
Аргентина,Степанов Глеб Антонович,Спартак,defender,68,11
Германия,Филиппов Павел Алексеевич,Зенит,attacker,46,40
Россия,Семёнов Степан Петрович,Спартак,halfdefender,0,0
Бразилия,Титов Глеб Евгеньевич,ЦСКА,attacker,128,64
Аргентина,Касаткин Арсений Леонидович,Манчестер Сити,halfdefender,77,24
Аргентина,Фёдоров Тихон Русланович,ПСЖ,attacker,167,76
Португалия,Орлов Ярослав Тарасович,Реал Мадрид,halfdefender,95,24
Франция,Марков Артём Вадимович,Динамо,attacker,34,8
Аргентина,Данилов Вячеслав Романович,Ливерпуль,halfdefender,69,60
Португалия,Кудрявцев Антон Дмитриевич,Динамо,goalkeeper,142,-55
Аргентина,Лебедев Пётр Кириллович,Динамо,defender,110,72
Англия,Данилов Лев Русланович,Локомотив,attacker,79,32
Португалия,Морозов Тихон Матвеевич,Зенит,halfdefender,132,2
Россия,Филиппов Георгий Геннадьевич,Реал Мадрид,defender,169,43
Испания,Яковлев Тимофей Степанович,Локомотив,halfdefender,180,72
Италия,Касаткин Никита Олегович,ПСЖ,halfdefender,57,37
Германия,Лазарев Павел Петрович,Бавария,halfdefender,35,14
Аргентина,Воробьёв Пётр Ильич,Бавария,halfdefender,96,38
Бразилия,Иванов Степан Никитич,Локомотив,attacker,97,33
Англия,Романов Фёдор Денисович,Арсенал,halfdefender,14,14
Англия,Данилов Матвей Юрьевич,Ливерпуль,halfdefender,126,53
Португалия,Жуков Максим Ильич,Барселона,attacker,86,29
Франция,Марков Юрий Викторович,Барселона,goalkeeper,133,-7
Италия,Лазарев Тимофей Радмирович,Манчестер Сити,halfdefender,90,56
Италия,Мельников Роман Валентинович,ПСЖ,halfdefender,120,35
Португалия,Николаев Владимир Алексеевич,Ливерпуль,attacker,29,8
Англия,Гусев Тихон Маркович,ЦСКА,halfdefender,32,7
Испания,Тарасов Фёдор Александрович,Динамо,attacker,138,75
Португалия,Сидоров Константин Евгеньевич,Арсенал,attacker,17,4
Германия,Кондратьев Пётр Васильевич,Арсенал,defender,140,8
Нидерланды,Жуков Матвей Сергеевич,Манчестер Сити,halfdefender,97,10
Аргентина,Григорьев Константин Павлович,Реал Мадрид,attacker,143,47
Германия,Марков Никита Николаевич,Реал Мадрид,defender,69,1
Нидерланды,Сергеев Валерий Рустамович,ПСЖ,goalkeeper,138,-44
Англия,Жуков Андрей Ярославович,Динамо,defender,136,41
Россия,Калинин Антон Юрьевич,Манчестер Сити,halfdefender,12,7
Россия,Антонов Виктор Петрович,Спартак,defender,83,43
Англия,Сидоров Руслан Равильевич,Динамо,attacker,96,26
Россия,Сидоров Григорий Станиславович,Ювентус,attacker,54,21
Испания,Титов Александр Валентинович,Ливерпуль,halfdefender,150,57
Англия,Тарасов Кирилл Эльдарович,Локомотив,defender,83,52
Германия,Сергеев Илья Васильевич,Арсенал,defender,93,41
Англия,Волков Матвей Леонидович,Ливерпуль,halfdefender,121,84
Франция,Марков Александр Дмитриевич,ПСЖ,defender,49,35
Англия,Павлов Денис Никитич,Барселона,halfdefender,175,20
Германия,Гаврилов Егор Станиславович,Ливерпуль,halfdefender,114,56
Англия,Марков Иван Арсеньевич,Бавария,defender,65,32
Бразилия,Калинин Григорий Анатольевич,Спартак,attacker,8,6
Испания,Лебедев Тихон Русланович,Зенит,halfdefender,5,0
Англия,Волков Тимофей Александрович,Ювентус,goalkeeper,150,-146
Португалия,Фёдоров Никита Викторович,Динамо,goalkeeper,70,-51
Англия,Лебедев Сергей Леонидович,Бавария,defender,147,19
Англия,Медведев Дмитрий Анатольевич,Реал Мадрид,halfdefender,19,15
Италия,Зайцев Илья Геннадьевич,Ливерпуль,defender,11,6
Нидерланды,Борисов Олег Вячеславович,Локомотив,attacker,55,55
Франция,Сергеев Тихон Валерьевич,Барселона,halfdefender,149,52
Бразилия,Калинин Станислав Тимофеевич,Манчестер Сити,attacker,22,5
Нидерланды,Кузнецов Виктор Романович,Ливерпуль,attacker,105,10
Нидерланды,Волков Лев Георгиевич,Арсенал,goalkeeper,89,-23
Нидерланды,Смирнов Даниил Геннадьевич,Локомотив,attacker,148,66
Португалия,Касаткин Артём Михайлович,ЦСКА,goalkeeper,55,-10
Бразилия,Волков Фёдор Ильич,Зенит,defender,61,5
Португалия,Соколов Глеб Русланович,ЦСКА,attacker,30,8
Россия,Титов Виктор Ильич,Манчестер Сити,attacker,76,65
Англия,Сергеев Михаил Константинович,Ювентус,halfdefender,132,13
Португалия,Сергеев Константин Данилович,Локомотив,defender,130,24
Италия,Макаров Фёдор Ярославович,Зенит,attacker,168,27
Бразилия,Кудрявцев Степан Алексеевич,Спартак,attacker,2,0
Бразилия,Беляев Виктор Данилович,ПСЖ,defender,6,3
Германия,Новиков Роман Витальевич,Зенит,attacker,126,15
Англия,Смирнов Вадим Максимович,Ювентус,attacker,0,0
Франция,Попов Дмитрий Русланович,Спартак,defender,58,57
Франция,Фомин Вячеслав Романович,Бавария,halfdefender,30,16
Франция,Мельников Денис Германович,ПСЖ,attacker,73,25
Аргентина,Попов Роман Юрьевич,Реал Мадрид,defender,12,8
Бразилия,Гусев Роман Васильевич,Ливерпуль,halfdefender,94,6
