N,algorithm,time_us
100,quickSortR,93
100,mergeSort,115
100,heapSort,77
100,sort,77
200,quickSortR,217
200,mergeSort,295
200,heapSort,179
200,sort,182
500,quickSortR,717
500,mergeSort,872
500,heapSort,587
500,sort,578
1000,quickSortR,1697
1000,mergeSort,2141
1000,heapSort,1401
1000,sort,1471
2000,quickSortR,4238
2000,mergeSort,5031
2000,heapSort,3307
2000,sort,3972
5000,quickSortR,13174
5000,mergeSort,14753
5000,heapSort,10490
5000,sort,12840
10000,quickSortR,30803
10000,mergeSort,33534
10000,heapSort,24421
10000,sort,29688
20000,quickSortR,70901
20000,mergeSort,99541
20000,heapSort,53227
20000,sort,66441
30000,quickSortR,108593
30000,mergeSort,119651
30000,heapSort,89490
30000,sort,106135
50000,quickSortR,196902
50000,mergeSort,212822
50000,heapSort,176140
50000,sort,190616
70000,quickSortR,283206
70000,mergeSort,318897
70000,heapSort,236640
70000,sort,276930
100000,quickSortR,421887
100000,mergeSort,459956
100000,heapSort,330125
100000,sort,406874
