method,sample,N,mean,stddev,cv,chi_bins,chi2,chi_low,chi_high,chi_pass,tests_passed,total_tests
ModifiedMiddleProductXor,1,5000,0.503087,0.289023,0.5745,14,8.1416,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,2,5000,0.49514,0.288138,0.581933,14,14.9456,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,3,5000,0.502588,0.288639,0.574305,14,8.1528,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,4,5000,0.497259,0.289169,0.581525,14,14.9624,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,5,5000,0.506423,0.289727,0.572105,14,17.9472,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,6,5000,0.5063,0.289838,0.572463,14,25.0984,4.98796,24.7358,0,5,6
ModifiedMiddleProductXor,7,5000,0.499711,0.287323,0.574979,14,8.5,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,8,5000,0.505477,0.28838,0.57051,14,10.6224,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,9,5000,0.497025,0.288724,0.580905,14,13.2264,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,10,5000,0.504827,0.289774,0.574005,14,10.88,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,11,5000,0.493546,0.286856,0.581214,14,9.5864,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,12,5000,0.497125,0.286464,0.576241,14,6.6912,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,13,5000,0.495014,0.289413,0.584657,14,5.9464,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,14,5000,0.489457,0.288339,0.5891,14,16.9616,4.98796,24.7358,1,4,6
ModifiedMiddleProductXor,15,5000,0.505837,0.287542,0.568447,14,16.7096,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,16,5000,0.511431,0.290168,0.567365,14,17.2808,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,17,5000,0.496009,0.290229,0.585128,14,9.368,4.98796,24.7358,1,4,6
ModifiedMiddleProductXor,18,5000,0.497541,0.286756,0.576347,14,17.1296,4.98796,24.7358,1,4,6
ModifiedMiddleProductXor,19,5000,0.501577,0.290603,0.579378,14,12.7504,4.98796,24.7358,1,5,6
ModifiedMiddleProductXor,20,5000,0.496344,0.287978,0.580199,14,16.984,4.98796,24.7358,1,5,6
ModifiedLCGPermuted,1,5000,0.503919,0.292617,0.580683,14,18.6248,4.98796,24.7358,1,4,6
