method,N,milliseconds
ModifiedMiddleProductXor,1000,0.011917
ModifiedMiddleProductXor,5000,0.059209
ModifiedMiddleProductXor,10000,0.133875
ModifiedMiddleProductXor,50000,0.660958
ModifiedMiddleProductXor,100000,1.34654
ModifiedMiddleProductXor,250000,3.35829
ModifiedMiddleProductXor,500000,6.6335
ModifiedMiddleProductXor,1000000,13.2599
ModifiedLCGPermuted,1000,0.006167
ModifiedLCGPermuted,5000,0.029375
ModifiedLCGPermuted,10000,0.049875
ModifiedLCGPermuted,50000,0.248625
ModifiedLCGPermuted,100000,0.500542
ModifiedLCGPermuted,250000,1.24267
ModifiedLCGPermuted,500000,2.51517
ModifiedLCGPermuted,1000000,5.18708
ModifiedLaggedFibonacciCarry,1000,0.0155
ModifiedLaggedFibonacciCarry,5000,0.078209
ModifiedLaggedFibonacciCarry,10000,0.154875
ModifiedLaggedFibonacciCarry,50000,0.778042
ModifiedLaggedFibonacciCarry,100000,1.56517
ModifiedLaggedFibonacciCarry,250000,3.91892
ModifiedLaggedFibonacciCarry,500000,7.82621
ModifiedLaggedFibonacciCarry,1000000,15.6279
std_mt19937,1000,0.011541
std_mt19937,5000,0.060625
std_mt19937,10000,0.124417
std_mt19937,50000,0.524042
std_mt19937,100000,1.04646
std_mt19937,250000,2.62096
std_mt19937,500000,5.29329
std_mt19937,1000000,10.5216
