method,sample,N,mean,stddev,cv,chi_bins,chi2,chi_low,chi_high,chi_pass,tests_passed,total_tests
ModifiedMiddleProductXor,1,1000,0.496762,0.294577,0.592995,11,8.018,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,1,1000,0.488155,0.293996,0.60226,11,7.886,3.2227,20.4815,1,5,6
XorShift32Salt,1,1000,0.515073,0.288001,0.559147,11,9.118,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,2,1000,0.505891,0.284806,0.562979,11,5.18,3.2227,20.4815,1,3,6
ModifiedLCGPermuted,2,1000,0.501961,0.291255,0.580233,11,4.058,3.2227,20.4815,1,5,6
XorShift32Salt,2,1000,0.492342,0.284836,0.578534,11,17.038,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,3,1000,0.498474,0.290461,0.582701,11,7.248,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,3,1000,0.496429,0.295662,0.595577,11,12.528,3.2227,20.4815,1,5,6
XorShift32Salt,3,1000,0.507151,0.294888,0.58146,11,21.438,3.2227,20.4815,0,5,6
ModifiedMiddleProductXor,4,1000,0.497177,0.295323,0.593999,11,10.724,3.2227,20.4815,1,4,6
ModifiedLCGPermuted,4,1000,0.501692,0.284939,0.567956,11,2.848,3.2227,20.4815,0,5,6
XorShift32Salt,4,1000,0.505513,0.278374,0.550676,11,19.15,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,5,1000,0.509308,0.288638,0.566726,11,8.172,3.2227,20.4815,1,4,6
ModifiedLCGPermuted,5,1000,0.49238,0.290673,0.590344,11,6.434,3.2227,20.4815,1,5,6
XorShift32Salt,5,1000,0.49398,0.291463,0.59003,11,7.402,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,6,1000,0.518543,0.283363,0.54646,11,23.374,3.2227,20.4815,0,5,6
ModifiedLCGPermuted,6,1000,0.50376,0.287837,0.571376,11,5.114,3.2227,20.4815,1,5,6
XorShift32Salt,6,1000,0.490876,0.291807,0.594462,11,11.12,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,7,1000,0.501921,0.289667,0.577117,11,7.82,3.2227,20.4815,1,4,6
ModifiedLCGPermuted,7,1000,0.500786,0.289097,0.577287,11,7.27,3.2227,20.4815,1,5,6
XorShift32Salt,7,1000,0.490323,0.289024,0.589456,11,14.024,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,8,1000,0.519001,0.287456,0.553864,11,9.14,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,8,1000,0.506444,0.295425,0.583333,11,8.194,3.2227,20.4815,1,5,6
XorShift32Salt,8,1000,0.497692,0.289684,0.582055,11,7.05,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,9,1000,0.497179,0.282665,0.568537,11,13.738,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,9,1000,0.49779,0.284905,0.572339,11,7.952,3.2227,20.4815,1,4,6
XorShift32Salt,9,1000,0.487415,0.286285,0.587354,11,11.054,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,10,1000,0.49853,0.29598,0.593706,11,14.002,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,10,1000,0.497452,0.28809,0.579132,11,7.622,3.2227,20.4815,1,5,6
XorShift32Salt,10,1000,0.503068,0.290323,0.577104,11,9.382,3.2227,20.4815,1,4,6
ModifiedMiddleProductXor,11,1000,0.499795,0.291753,0.583746,11,6.434,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,11,1000,0.507681,0.283604,0.558627,11,7.71,3.2227,20.4815,1,5,6
XorShift32Salt,11,1000,0.505949,0.288513,0.570242,11,13.98,3.2227,20.4815,1,4,6
ModifiedMiddleProductXor,12,1000,0.509935,0.290903,0.57047,11,7.006,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,12,1000,0.505634,0.291035,0.575584,11,9.91,3.2227,20.4815,1,4,6
XorShift32Salt,12,1000,0.489896,0.284119,0.579957,11,8.348,3.2227,20.4815,1,5,6
ModifiedMiddleProductXor,13,1000,0.488415,0.283778,0.581019,11,10.196,3.2227,20.4815,1,5,6
ModifiedLCGPermuted,13,1000,0.520298,0.283258,0.544414,11,22.78,3.2227,20.4815,0,5,6
XorShift32Salt,13,1000,0.508137,0.28813,0.567033,11,4.432,3.2227,20.4815,1,5,6
