method,N,milliseconds
ModifiedMiddleProductXor,1000,0.014625
ModifiedMiddleProductXor,5000,0.07225
ModifiedMiddleProductXor,10000,0.199334
ModifiedMiddleProductXor,50000,1.1265
ModifiedMiddleProductXor,100000,1.52917
ModifiedMiddleProductXor,250000,3.58079
ModifiedMiddleProductXor,500000,6.96117
ModifiedMiddleProductXor,1000000,14.3232
ModifiedLCGPermuted,1000,0.004917
ModifiedLCGPermuted,5000,0.02475
ModifiedLCGPermuted,10000,0.049209
ModifiedLCGPermuted,50000,0.246
ModifiedLCGPermuted,100000,0.491584
ModifiedLCGPermuted,250000,1.22079
ModifiedLCGPermuted,500000,2.88708
ModifiedLCGPermuted,1000000,5.80083
XorShift32Salt,1000,0.00725
XorShift32Salt,5000,0.0315
XorShift32Salt,10000,0.077625
XorShift32Salt,50000,0.298917
XorShift32Salt,100000,0.596042
XorShift32Salt,250000,1.49838
XorShift32Salt,500000,3.03883
XorShift32Salt,1000000,6.20529
std_mt19937,1000,0.01125
std_mt19937,5000,0.056417
std_mt19937,10000,0.106334
std_mt19937,50000,0.507417
std_mt19937,100000,1.01779
std_mt19937,250000,2.79242
std_mt19937,500000,5.62225
std_mt19937,1000000,10.7083
