generator,sample,N,mean,stdev,cv,share_02113_07887,bins,chi2,chi_result
modified_middle_square,1,5000,0.50064673,0.28622323,0.57170698,0.58940000,13,10.94880000,pass
modified_middle_square,2,5000,0.50522774,0.28939747,0.57280597,0.57480000,13,9.89840000,pass
modified_middle_square,3,5000,0.49953182,0.28704537,0.57462880,0.58020000,13,10.98520000,pass
modified_middle_square,4,5000,0.49343316,0.29060447,0.58894395,0.56780000,13,13.48120000,pass
modified_middle_square,5,5000,0.49374765,0.28957990,0.58649373,0.57940000,13,15.20240000,pass
modified_middle_square,6,5000,0.50739207,0.29077920,0.57308583,0.56580000,13,10.47040000,pass
modified_middle_square,7,5000,0.49365726,0.28686736,0.58110635,0.58660000,13,12.48280000,pass
modified_middle_square,8,5000,0.50137619,0.28708830,0.57260058,0.59120000,13,11.29200000,pass
modified_middle_square,9,5000,0.50023945,0.28945461,0.57863210,0.57660000,13,5.74360000,pass
modified_middle_square,10,5000,0.50431019,0.28627338,0.56765337,0.58560000,13,11.15160000,pass
modified_middle_square,11,5000,0.50179719,0.29002417,0.57797088,0.57540000,13,4.52160000,pass
modified_middle_square,12,5000,0.49860882,0.28792274,0.57745216,0.58220000,13,6.82000000,pass
modified_middle_square,13,5000,0.50092307,0.28879978,0.57653519,0.57700000,13,11.06840000,pass
modified_middle_square,14,5000,0.50967162,0.28871129,0.56646530,0.57480000,13,11.19840000,pass
modified_middle_square,15,5000,0.50675820,0.28819270,0.56869865,0.57960000,13,8.92080000,pass
modified_middle_square,16,5000,0.50644972,0.29157635,0.57572615,0.56580000,13,13.97000000,pass
modified_middle_square,17,5000,0.49403766,0.29109278,0.58921172,0.56940000,13,12.80000000,pass
modified_middle_square,18,5000,0.49465014,0.28648813,0.57917325,0.58560000,13,7.02280000,pass
modified_middle_square,19,5000,0.49585446,0.29016326,0.58517829,0.56800000,13,9.47200000,pass
modified_middle_square,20,5000,0.50268965,0.28866381,0.57423861,0.57880000,13,11.30760000,pass
modified_middle_product,1,5000,0.49455677,0.28847226,0.58329453,0.57840000,13,7.03320000,pass
modified_middle_product,2,5000,0.50562316,0.28927927,0.57212424,0.57260000,13,9.34720000,pass
modified_middle_product,3,5000,0.49696650,0.28949725,0.58252870,0.57360000,13,8.94680000,pass
modified_middle_product,4,5000,0.50307876,0.29000119,0.57645286,0.56880000,13,7.80280000,pass
modified_middle_product,5,5000,0.49883352,0.28515030,0.57163420,0.58840000,13,15.97200000,pass
modified_middle_product,6,5000,0.50040190,0.28752661,0.57459136,0.58140000,13,7.62600000,pass
modified_middle_product,7,5000,0.49244078,0.28578958,0.58035319,0.58560000,13,16.57000000,pass
modified_middle_product,8,5000,0.49322107,0.28436874,0.57655433,0.59000000,13,21.44240000,pass
modified_middle_product,9,5000,0.49930231,0.29084792,0.58250867,0.57120000,13,17.31360000,pass
