generator,N,time_ms
modified_middle_square,1000,0.008748
modified_middle_square,5000,0.029081
modified_middle_square,10000,0.058064
modified_middle_square,50000,0.360303
modified_middle_square,100000,0.614963
modified_middle_square,500000,3.212027
modified_middle_square,1000000,6.197647
modified_middle_product,1000,0.007042
modified_middle_product,5000,0.034940
modified_middle_product,10000,0.069883
modified_middle_product,50000,0.359527
modified_middle_product,100000,0.713863
modified_middle_product,500000,3.641614
modified_middle_product,1000000,7.396859
modified_shuffle,1000,0.024310
modified_shuffle,5000,0.053663
modified_shuffle,10000,0.060330
modified_shuffle,50000,0.423673
modified_shuffle,100000,0.707017
modified_shuffle,500000,3.663203
modified_shuffle,1000000,6.734033
std_mt19937,1000,0.011381
std_mt19937,5000,0.052325
std_mt19937,10000,0.106264
std_mt19937,50000,0.534571
std_mt19937,100000,0.745980
std_mt19937,500000,3.421686
std_mt19937,1000000,6.309384
